Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling,Style_Taekwondo
Nariman Abbassov,0.375,0.8881698783994927,0.4571483784237942,0.3070624360286592,0.108,0.0,0.0,0.46,0.4240506329113924,0.0,0.8211678832116788,0.0151975683890577,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0476190476190476,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Hamdy Abdelwahab,0.4166666666666667,0.9367088607594936,0.4318181818181821,0.3961105424769703,0.0596190476190476,0.1244296972210701,0.0,0.59,0.0063291139240506,1.0,0.0273722627737226,0.0006754474839581,0.0736543909348442,0.0144092219020172,0.0,0.0,0.53,0.75,0.05,0.0,0.0,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,
Israel Adesanya,0.625,0.9620253164556962,0.7954545454545459,0.4022517911975435,0.0592380952380952,0.0020738282870178,0.0161637931034482,0.56,0.4936708860759493,0.0007444444444444,1.0,0.3552853765619723,0.1699716713881019,0.1037463976945244,0.6153846153846154,0.1194029850746268,0.0,0.48,0.14,0.631578947368421,0.1428571428571428,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
Fabio Agu,0.625,0.8881698783994927,0.4571483784237942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1135651894611932,0.1974874970231007,0.0545954438334642,0.106609907120743,0.4395820433436532,0.295953488372093,0.3053122697880003,0.1863523187052598,0.0699588477366255,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Jesus Aguilar,0.3333333333333332,0.810126582278481,0.0,0.1525076765609007,0.0211428571428571,0.0788054749066777,0.1540948275862069,0.59,0.2531645569620253,0.0005333333333333,0.4315693430656934,0.0077676460655184,0.0169971671388102,0.0518731988472622,0.0384615384615384,0.044776119402985,0.06,0.51,0.33,0.2631578947368421,0.0952380952380952,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
Nick Aguirre,0.2916666666666667,0.8734177215189873,0.5227272727272729,0.074718526100307,0.055047619047619,0.0481128162588137,0.0625,0.46,0.2088607594936709,0.0,0.7107664233576642,0.0060790273556231,0.0028328611898017,0.0,0.1153846153846153,0.0,0.04,0.34,0.2,0.1842105263157894,0.0952380952380952,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,
Abdul-Kareem Al-Selwady,0.3333333333333332,0.8607594936708861,0.2954545454545454,0.4237461617195496,0.0685714285714285,0.0962256325176275,0.0,0.59,0.1265822784810126,0.0,0.7071167883211679,0.0344478216818642,0.0141643059490084,0.0,0.3076923076923077,0.0746268656716417,0.02,0.35,0.31,0.3947368421052631,0.1904761904761904,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
Herdem Alacabek,0.5,0.9367088607594936,0.5454545454545454,0.3930399181166837,0.1268571428571428,0.0854417254251348,0.0,0.23,0.2721518987341772,0.0,0.7974452554744526,0.0081053698074974,0.0736543909348442,0.0172910662824207,0.0,0.0,0.0,0.66,0.5,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
Amir Albazi,0.4166666666666667,0.8227848101265822,0.25,0.2865916069600819,0.0584761904761904,0.0709249274160099,0.0786637931034482,0.63,0.2531645569620253,0.0005444444444444,0.6733576642335766,0.0469436001350895,0.0084985835694051,0.0864553314121037,0.1923076923076923,0.044776119402985,0.09,0.39,0.33,0.4473684210526315,0.0476190476190476,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,
Jose Alday,0.4583333333333332,0.8481012658227848,0.25,0.3203684749232344,0.0596190476190476,0.0,0.0,0.59,0.360759493670886,0.0,0.8211678832116788,0.0148598446470786,0.0084985835694051,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0476190476190476,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
