fighter_1_knockdowns_previous,fighter_1_ss_previous,fighter_1_ss_pct_previous,fighter_1_total_strikes_previous,fighter_1_takedowns_previous,fighter_1_takedown_pct_previous,fighter_1_submission_attempts_previous,fighter_1_reverses_previous,fighter_1_control_previous,fighter_1_head_ss_previous,fighter_1_body_ss_previous,fighter_1_leg_ss_previous,fighter_1_distance_ss_previous,fighter_1_clinch_ss_previous,fighter_1_ground_ss_previous,fighter_2_knockdowns_previous,fighter_2_ss_previous,fighter_2_ss_pct_previous,fighter_2_total_strikes_previous,fighter_2_takedowns_previous,fighter_2_takedown_pct_previous,fighter_2_submission_attempts_previous,fighter_2_reverses_previous,fighter_2_control_previous,fighter_2_head_ss_previous,fighter_2_body_ss_previous,fighter_2_leg_ss_previous,fighter_2_distance_ss_previous,fighter_2_clinch_ss_previous,fighter_2_ground_ss_previous,Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling,Style_Taekwondo,Age,Height,Reach,Wins_fighter2,Losses_fighter2,Draws_fighter2,Style_Boxing_fighter2,Style_Brawler_fighter2,Style_Brazilian Jiu-Jitsu_fighter2,Style_Freestyle_fighter2,Style_Grappler_fighter2,Style_Jiu-Jitsu_fighter2,Style_Judo_fighter2,Style_Karate_fighter2,Style_Kickboxer_fighter2,Style_Kung Fu_fighter2,Style_Kung-Fu_fighter2,Style_MMA_fighter2,Style_Muay Thai_fighter2,Style_Sambo_fighter2,Style_Striker_fighter2,Style_Wrestler_fighter2,Style_Wrestling_fighter2,Style_Taekwondo_fighter2,Age_fighter2,Height_fighter2,Reach_fighter2
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.1842105263157894,0.1428571428571428,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.4583333333333332,0.9240506329113924,0.6136363636363638,0.2105263157894736,0.1428571428571428,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,0.3333333333333332,0.8734177215189873,0.4772727272727275
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.2631578947368421,0.1428571428571428,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,0.25,0.8860759493670886,0.2045454545454545,0.2631578947368421,0.1904761904761904,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0.4583333333333332,0.8860759493670886,0.5227272727272729
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[0.0, 0.0]","[0.25, 0.42519685]","[0.25, 0.42]","[0.717391304, 0.503311258]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.0]","[1.0, 1.0]","[0.0, 0.0]","[0.272727273, 0.336633663]","[0.0, 0.0]","[0.0, 0.833333333]","[0.0, 0.4]","[0.0, 0.541666667]","[0.333333333, 0.375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[0.0],[0.441441441],[0.44],[0.509578544],[1.0],[1.0],[0.0],[0.0],[0.0],[0.36627907],[0.777777778],[0.608695652],[0.38121547],[0.724137931],[0.666666667],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0, 0.0]","[0.441441441, 0.409836066]","[0.44, 0.4]","[0.509578544, 0.652542373]","[1.0, 0.4]","[1.0, 0.4]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.36627907, 0.291666667]","[0.777777778, 0.818181818]","[0.608695652, 1.0]","[0.38121547, 0.216216216]","[0.724137931, 0.685714286]","[0.666666667, 0.769230769]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[0.0, 0.0, 0.0]","[0.441441441, 0.409836066, 0.442307692]","[0.44, 0.4, 0.44]","[0.509578544, 0.652542373, 0.673913043]","[1.0, 0.4, 0.375]","[1.0, 0.4, 0.37]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.36627907, 0.291666667, 0.25]","[0.777777778, 0.818181818, 0.733333333]","[0.608695652, 1.0, 0.857142857]","[0.38121547, 0.216216216, 0.333333333]","[0.724137931, 0.685714286, 0.842105263]","[0.666666667, 0.769230769, 0.75]","[0.0, 0.0]","[0.45045045, 0.625]","[0.45, 0.62]","[0.511627907, 0.625]","[0.266666667, 0.0]","[0.26, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.307692308, 0.5]","[0.8125, 1.0]","[0.764705882, 1.0]","[0.367816092, 0.5]","[0.727272727, 1.0]","[0.769230769, 0.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[0.0, 0.0]","[1.0, 0.46875]","[1.0, 0.46]","[1.0, 0.709677419]","[0.5, 1.0]","[0.5, 1.0]","[0.0, 0.0]","[1.0, 1.0]","[0.0, 0.0]","[0.0, 0.407407407]","[0.0, 1.0]","[1.0, 0.5]","[1.0, 0.0]","[0.0, 1.0]","[0.0, 0.423076923]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1.0],[0.5],[0.5],[0.590909091],[1.0],[1.0],[0.0],[0.0],[0.0],[0.466666667],[0.666666667],[1.0],[0.4],[1.0],[0.518518519],"[0.0, 0.0]","[0.378378378, 0.416666667]","[0.37, 0.41]","[0.378378378, 0.506666667]","[0.0, 0.125]","[0.0, 0.12]","[0.0, 0.0]","[0.0, 1.0]","[0.0, 0.0]","[0.34375, 0.326923077]","[0.6, 1.0]","[0.0, 0.0]","[0.322580645, 0.272727273]","[0.666666667, 0.333333333]","[0.0, 0.456521739]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[1.0, 0.0]","[0.5, 0.36440678]","[0.5, 0.36]","[0.590909091, 0.479452055]","[1.0, 0.454545455]","[1.0, 0.45]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.466666667, 0.233333333]","[0.666666667, 0.75]","[1.0, 1.0]","[0.4, 0.317647059]","[1.0, 0.466666667]","[0.518518519, 0.666666667]","[0.0, 0.0, 0.0]","[0.5, 0.764705882, 0.215517241]","[0.5, 0.76, 0.21]","[0.769230769, 0.853658537, 0.330882353]","[0.428571429, 0.2, 0.0]","[0.42, 0.2, 0.0]","[2.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.333333333, 0.5, 0.205357143]","[0.666666667, 1.0, 0.333333333]","[0.0, 0.833333333, 1.0]","[0.0, 0.625, 0.201754386]","[0.5, 0.857142857, 1.0]","[1.0, 1.0, 0.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
