event_1,fighter_1_1,fighter_2_1,fighter_1_result_1,fighter_2_result_1,fighter_1_knockdowns_1,fighter_2_knockdowns_1,fighter_1_ss_1,fighter_2_ss_1,fighter_1_ss_pct_1,fighter_2_ss_pct_1,fighter_1_total_strikes_1,fighter_2_total_strikes_1,fighter_1_takedowns_1,fighter_2_takedowns_1,fighter_1_takedown_pct_1,fighter_2_takedown_pct_1,fighter_1_submission_attempts_1,fighter_2_submission_attempts_1,fighter_1_reverses_1,fighter_2_reverses_1,fighter_1_control_1,fighter_2_control_1,fighter_1_head_ss_1,fighter_2_head_ss_1,fighter_1_body_ss_1,fighter_2_body_ss_1,fighter_1_leg_ss_1,fighter_2_leg_ss_1,fighter_1_distance_ss_1,fighter_2_distance_ss_1,fighter_1_clinch_ss_1,fighter_2_clinch_ss_1,fighter_1_ground_ss_1,fighter_2_ground_ss_1,original_order,fighter_1_knockdowns_previous,fighter_1_ss_previous,fighter_1_ss_pct_previous,fighter_1_total_strikes_previous,fighter_1_takedowns_previous,fighter_1_takedown_pct_previous,fighter_1_submission_attempts_previous,fighter_1_reverses_previous,fighter_1_control_previous,fighter_1_head_ss_previous,fighter_1_body_ss_previous,fighter_1_leg_ss_previous,fighter_1_distance_ss_previous,fighter_1_clinch_ss_previous,fighter_1_ground_ss_previous,fighter_2_knockdowns_previous,fighter_2_ss_previous,fighter_2_ss_pct_previous,fighter_2_total_strikes_previous,fighter_2_takedowns_previous,fighter_2_takedown_pct_previous,fighter_2_submission_attempts_previous,fighter_2_reverses_previous,fighter_2_control_previous,fighter_2_head_ss_previous,fighter_2_body_ss_previous,fighter_2_leg_ss_previous,fighter_2_distance_ss_previous,fighter_2_clinch_ss_previous,fighter_2_ground_ss_previous,Name,Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling,Style_Taekwondo,Age,Height,Reach,Name_fighter2,Wins_fighter2,Losses_fighter2,Draws_fighter2,Style_Boxing_fighter2,Style_Brawler_fighter2,Style_Brazilian Jiu-Jitsu_fighter2,Style_Freestyle_fighter2,Style_Grappler_fighter2,Style_Jiu-Jitsu_fighter2,Style_Judo_fighter2,Style_Karate_fighter2,Style_Kickboxer_fighter2,Style_Kung Fu_fighter2,Style_Kung-Fu_fighter2,Style_MMA_fighter2,Style_Muay Thai_fighter2,Style_Sambo_fighter2,Style_Striker_fighter2,Style_Wrestler_fighter2,Style_Wrestling_fighter2,Style_Taekwondo_fighter2,Age_fighter2,Height_fighter2,Reach_fighter2
UFC 271: Adesanya vs. Whittaker 2,AJ Dobson,Jacob Malkoun,L,W,0.0,0.0,0.577777778,0.625,0.57,0.62,0.618181818,0.717647059,0.0,0.375,,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.518987342,0.593220339,1.0,1.0,1.0,1.0,0.564102564,0.50877193,0.555555556,0.571428571,1.0,0.734375,429,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],AJ Dobson,0.1842105263157894,0.1428571428571428,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.4583333333333332,0.9240506329113924,0.6136363636363638,Jacob Malkoun,0.2105263157894736,0.1428571428571428,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,0.3333333333333332,0.8734177215189873,0.4772727272727275
UFC 278: Usman vs. Edwards,AJ Fletcher,Ange Loosa,L,W,0.0,0.0,0.480662983,0.553648069,0.48,0.55,0.512437811,0.68079096,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.45398773,0.468085106,0.692307692,0.9,0.8,0.933333333,0.473372781,0.502645503,0.666666667,0.611111111,0.333333333,0.884615385,340,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],AJ Fletcher,0.2631578947368421,0.1428571428571428,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,0.25,0.8860759493670886,0.2045454545454545,Ange Loosa,0.2631578947368421,0.1904761904761904,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,0.4583333333333332,0.8860759493670886,0.5227272727272729
UFC 228: Woodley vs. Till,Abdul Razak Alhassan,Niko Price,W,L,1.0,0.0,0.714285714,0.4,0.71,0.4,0.714285714,0.4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647058824,0.333333333,1.0,0.5,1.0,0.0,0.7,0.4,1.0,0.0,0.0,0.0,934,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[0.0],[0.375],[0.37],[0.6],[0.25],[0.25],[2.0],[0.0],[0.0],[0.25],[1.0],[0.666666667],[0.333333333],[1.0],[0.333333333],Abdul Razak Alhassan,0.3157894736842105,0.2857142857142857,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,0.75,0.8860759493670886,0.4772727272727275,Niko Price,0.4210526315789473,0.3333333333333333,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.5833333333333333,0.9113924050632912,0.6136363636363638
UFC 217: Bisping vs. St-Pierre,Aiemann Zahabi,Ricardo Ramos,L,W,0.0,1.0,0.438095238,0.446808511,0.43,0.44,0.443396226,0.463917526,0.0,0.6,0.0,0.6,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.405405405,0.8,0.375,0.0,0.75,0.40625,0.426966292,0.777777778,0.0,0.0,1.0,1069,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],Aiemann Zahabi,0.2894736842105263,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,0.6666666666666667,0.8607594936708861,0.2727272727272729,Ricardo Ramos,0.4210526315789473,0.2857142857142857,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,0.375,0.8734177215189873,0.4318181818181821
UFC 289: Nunes vs. Aldana,Aiemann Zahabi,Aoriqileng,W,L,1.0,0.0,0.625,1.0,0.62,1.0,0.625,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,1.0,0.0,1.0,0.6,1.0,0.0,0.0,0.666666667,0.0,196,[0.0],[0.438095238],[0.43],[0.443396226],[0.0],[0.0],[0.0],[1.0],[0.0],[0.4],[0.8],[0.0],[0.40625],[0.777777778],[0.0],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],Aiemann Zahabi,0.2894736842105263,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,0.6666666666666667,0.8607594936708861,0.2727272727272729,Aoriqileng,0.6578947368421052,0.4761904761904761,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.4583333333333332,0.8481012658227848,0.2954545454545454
UFC 302: Makhachev vs. Poirier,Ailin Perez,Joselyne Edwards,W,L,1.0,0.0,0.677419355,0.421875,0.67,0.42,0.747252747,0.726256983,0.545454545,0.0,0.54,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.571428571,0.243243243,0.789473684,0.571428571,0.733333333,0.769230769,0.545454545,0.406779661,1.0,0.333333333,1.0,1.0,37,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[0.0],[0.611940299],[0.61],[0.625],[0.0],[0.0],[0.0],[0.0],[0.0],[0.265060241],[0.663265306],[0.885057471],[0.605577689],[0.705882353],[0.0],Ailin Perez,0.3846153846153846,0.0952380952380952,0.0,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,0.3199999999999999,0.8904109589041096,0.4838709677419355,Joselyne Edwards,0.5,0.2857142857142857,0.0,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,0.2800000000000001,0.9315068493150684,0.7419354838709675
UFC 169: Barao vs Faber 2,Al Iaquinta,Kevin Lee,W,L,1.0,0.0,0.401639344,0.274647887,0.4,0.27,0.4,0.329032258,0.0,0.125,0.0,0.12,1.0,2.0,0.0,0.0,0.0,0.0,0.386792453,0.244274809,0.461538462,0.6,0.666666667,1.0,0.391666667,0.225806452,0.0,0.0,1.0,0.733333333,1633,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],Al Iaquinta,0.3684210526315789,0.3333333333333333,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.6666666666666667,0.8860759493670886,0.3409090909090913,Kevin Lee,0.4736842105263157,0.3809523809523809,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,0.4166666666666667,0.8860759493670886,0.6590909090909092
UFC 243: Whittaker vs. Adesanya,Al Iaquinta,Dan Hooker,L,W,0.0,1.0,0.318965517,0.473429952,0.31,0.47,0.324786325,0.488262911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225806452,0.404761905,0.636363636,0.538461538,0.75,0.884615385,0.318965517,0.417582418,0.0,0.0,0.0,0.88,761,"[1.0, 0.0]","[0.401639344, 0.684210526]","[0.4, 0.68]","[0.4, 0.775]","[0.0, 1.0]","[0.0, 1.0]","[1.0, 2.0]","[0.0, 0.0]","[0.0, 0.0]","[0.386792453, 0.625]","[0.461538462, 1.0]","[0.666666667, 0.0]","[0.391666667, 0.75]","[0.0, 0.0]","[1.0, 0.636363636]",[0.0],[0.240506329],[0.24],[0.524691358],[0.333333333],[0.33],[0.0],[0.0],[0.0],[0.225806452],[0.625],[0.0],[0.160714286],[0.4],[0.5],Al Iaquinta,0.3684210526315789,0.3333333333333333,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.6666666666666667,0.8860759493670886,0.3409090909090913,Dan Hooker,0.6052631578947368,0.5714285714285714,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,0.5833333333333333,0.9113924050632912,0.5681818181818183
UFC 268: Usman vs. Covington 2,Al Iaquinta,King Green,L,W,0.0,1.0,0.333333333,0.7,0.33,0.7,0.333333333,0.707317073,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238095238,0.657142857,0.5,1.0,0.666666667,1.0,0.333333333,0.615384615,0.0,0.0,0.0,0.857142857,464,"[1.0, 0.0, 0.0]","[0.401639344, 0.684210526, 0.318965517]","[0.4, 0.68, 0.31]","[0.4, 0.775, 0.324786325]","[0.0, 1.0, 0.0]","[0.0, 1.0, 0.0]","[1.0, 2.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.386792453, 0.625, 0.225806452]","[0.461538462, 1.0, 0.636363636]","[0.666666667, 0.0, 0.75]","[0.391666667, 0.75, 0.318965517]","[0.0, 0.0, 0.0]","[1.0, 0.636363636, 0.0]","[0.0, 0.0, 0.0]","[0.6, 0.418439716, 0.400862069]","[0.6, 0.41, 0.4]","[0.650943396, 0.434482759, 0.422764228]","[1.0, 0.0, 0.333333333]","[1.0, 0.0, 0.33]","[1.0, 0.0, 0.0]","[2.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.53125, 0.227848101, 0.338461538]","[0.736842105, 0.621621622, 0.681818182]","[0.857142857, 0.72, 0.8]","[0.386363636, 0.414814815, 0.352380952]","[1.0, 0.5, 0.863636364]","[0.756756757, 0.0, 0.0]",Al Iaquinta,0.3684210526315789,0.3333333333333333,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.6666666666666667,0.8860759493670886,0.3409090909090913,King Green,0.8421052631578947,0.7619047619047619,0.5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,0.7083333333333333,0.8860759493670886,0.3863636363636367
UFC 267: Blachowicz vs. Teixeira,Albert Duraev,Roman Kopylov,W,L,0.0,1.0,0.507142857,0.451612903,0.5,0.45,0.573584906,0.486486486,0.111111111,0.5,0.11,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.457627119,0.394736842,0.75,0.583333333,0.785714286,1.0,0.445652174,0.432098765,0.0,0.5,0.625,0.625,480,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],Albert Duraev,0.4210526315789473,0.238095238095238,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,0.5833333333333333,0.8987341772151899,0.5681818181818183,Roman Kopylov,0.3421052631578947,0.1428571428571428,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.5,0.9113924050632912,0.5681818181818183
