Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_Kung-Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Wrestler,Style_Wrestling
Nariman Abbassov,0.375,0.8881698783994927,0.4571483784237942,0.3070624360286592,0.10800000000000001,0.0,0.0,0.46,0.4240506329113924,0.0,0.8211678832116788,0.015197568389057751,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.047619047619047616,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hamdy Abdelwahab,0.41666666666666674,0.9367088607594937,0.4318181818181821,0.39611054247697036,0.05961904761904762,0.1244296972210701,0.0,0.59,0.006329113924050633,1.0,0.027372262773722626,0.0006754474839581223,0.0736543909348442,0.01440922190201729,0.0,0.0,0.53,0.75,0.05,0.0,0.0,0.06995884773662552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Israel Adesanya,0.625,0.9620253164556962,0.7954545454545459,0.40225179119754356,0.05923809523809524,0.002073828287017835,0.016163793103448277,0.56,0.49367088607594933,0.0007444444444444445,1.0,0.35528537656197234,0.16997167138810199,0.10374639769452448,0.6153846153846154,0.11940298507462686,0.0,0.48,0.14,0.631578947368421,0.14285714285714285,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Fabio Agu,0.625,0.8881698783994927,0.4571483784237942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11356518946119323,0.19748749702310076,0.054595443833464256,0.10660990712074303,0.43958204334365325,0.29595348837209307,0.3053122697880003,0.18635231870525987,0.06995884773662552,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jesus Aguilar,0.33333333333333326,0.810126582278481,0.0,0.15250767656090072,0.021142857142857147,0.07880547490667772,0.1540948275862069,0.59,0.25316455696202533,0.0005333333333333334,0.4315693430656934,0.007767646065518406,0.0169971671388102,0.05187319884726224,0.038461538461538464,0.04477611940298507,0.06,0.51,0.33,0.2631578947368421,0.09523809523809523,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Nick Aguirre,0.29166666666666674,0.8734177215189873,0.5227272727272729,0.07471852610030706,0.055047619047619054,0.048112816258813765,0.0625,0.46,0.2088607594936709,0.0,0.7107664233576642,0.006079027355623101,0.0028328611898017,0.0,0.11538461538461539,0.0,0.04,0.34,0.2,0.18421052631578946,0.09523809523809523,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Abdul-Kareem Al-Selwady,0.33333333333333326,0.8607594936708861,0.2954545454545454,0.42374616171954965,0.06857142857142857,0.09622563251762753,0.0,0.59,0.12658227848101267,0.0,0.7071167883211679,0.034447821681864235,0.014164305949008499,0.0,0.3076923076923077,0.07462686567164178,0.02,0.35000000000000003,0.31,0.39473684210526316,0.19047619047619047,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Herdem Alacabek,0.5,0.9367088607594937,0.5454545454545454,0.39303991811668376,0.12685714285714286,0.0854417254251348,0.0,0.23,0.2721518987341772,0.0,0.7974452554744526,0.008105369807497468,0.0736543909348442,0.017291066282420747,0.0,0.0,0.0,0.66,0.5,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Amir Albazi,0.41666666666666674,0.8227848101265822,0.25,0.2865916069600819,0.05847619047619048,0.07092492741600996,0.07866379310344827,0.63,0.25316455696202533,0.0005444444444444444,0.6733576642335766,0.0469436001350895,0.0084985835694051,0.08645533141210374,0.19230769230769232,0.04477611940298507,0.09,0.39,0.33,0.4473684210526315,0.047619047619047616,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Jose Alday,0.45833333333333326,0.8481012658227848,0.25,0.3203684749232344,0.05961904761904762,0.0,0.0,0.59,0.36075949367088606,0.0,0.8211678832116788,0.01485984464707869,0.0084985835694051,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.047619047619047616,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
