Name,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws,Style_Boxing,Style_Brawler,Style_Brazilian Jiu-Jitsu,Style_Freestyle,Style_Grappler,Style_Jiu-Jitsu,Style_Judo,Style_Karate,Style_Kickboxer,Style_Kung Fu,Style_MMA,Style_Muay Thai,Style_Sambo,Style_Striker,Style_Taekwondo,Style_Wrestler,Style_Wrestling
Mariya Agapova,0.2400000000000001,0.9041095890410958,0.6451612903225805,0.3944790739091718,0.35841584158415846,0.07333333333333333,0.08486707566462168,0.611764705882353,0.45,0.0006111111111111112,0.3891666666666667,0.11390635918937805,0.08333333333333333,0.14184397163120566,0.1764705882352941,0.03076923076923077,0.060240963855421686,0.55,0.67,0.38461538461538464,0.23809523809523808,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Jessica Aguilar,0.8000000000000002,0.8630136986301369,0.2903225806451615,0.43900267141585037,0.711881188118812,0.12533333333333332,0.024539877300613498,0.6352941176470588,0.5,0.0,0.6366666666666667,0.13556953179594688,0.21052631578947367,0.0851063829787234,0.1764705882352941,0.15384615384615385,0.08433734939759037,0.51,0.25,0.7692307692307693,0.38095238095238093,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alexandra Albu,0.44000000000000006,0.8493150684931506,0.2903225806451615,0.43009795191451466,0.5504950495049504,0.30266666666666664,0.03885480572597137,0.4588235294117647,0.78,0.0,0.49500000000000005,0.07826694619147449,0.13596491228070173,0.06028368794326241,0.23529411764705882,0.015384615384615385,0.024096385542168676,0.47000000000000003,0.5,0.2692307692307693,0.09523809523809523,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Irene Aldana,0.6,0.9452054794520548,0.6451612903225805,0.4666073018699911,0.6267326732673267,0.021333333333333333,0.024539877300613498,0.6705882352941176,0.76,0.0002666666666666667,0.7316666666666667,0.6156533892382948,0.1162280701754386,0.21985815602836878,0.47058823529411764,0.046153846153846156,0.03614457831325302,0.4,0.5,0.576923076923077,0.3333333333333333,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
JJ Aldrich,0.4,0.8904109589041096,0.5806451612903225,0.3455031166518254,0.43366336633663366,0.08800000000000001,0.0,0.7176470588235294,0.67,0.0,0.685,0.43535988819007687,0.21271929824561403,0.2765957446808511,0.1764705882352941,0.13846153846153847,0.0,0.47000000000000003,0.24,0.5,0.3333333333333333,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Irina Alekseeva,0.4800000000000001,0.9315068493150684,0.4685351665785302,0.34194122885129113,0.35148514851485146,0.11599999999999999,0.08895705521472393,0.5764705882352941,1.0,0.0009666666666666667,0.43000000000000005,0.042627533193570925,0.006578947368421052,0.0070921985815602835,0.058823529411764705,0.03076923076923077,0.024096385542168676,0.43,0.2,0.19230769230769232,0.09523809523809523,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Talita Alencar,0.4800000000000001,0.8356164383561644,0.0,0.22172751558325915,0.4752475247524752,0.26666666666666666,0.0,0.6235294117647059,0.5,0.0,0.75,0.05031446540880503,0.03508771929824561,0.0851063829787234,0.0,0.03076923076923077,0.03614457831325302,0.28,0.14,0.19230769230769232,0.047619047619047616,0.5,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Estefani Almeida,0.5200000000000001,0.8767123287671232,0.4685351665785302,0.27871772039180764,0.6009900990099011,0.0,0.0,0.49411764705882355,0.0,1.0,0.03833333333333334,0.0006988120195667365,0.0,0.0,0.0,0.0,0.44578313253012053,0.0,0.0,0.0,0.0,0.06696428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ericka Almeida,0.5200000000000001,0.9041095890410958,0.6129032258064515,0.09528049866429207,0.3297029702970297,0.06666666666666667,0.0,0.5176470588235293,0.38,0.0,0.75,0.011180992313067784,0.02850877192982456,0.010638297872340425,0.058823529411764705,0.0,0.07228915662650603,0.4,0.33,0.2692307692307693,0.09523809523809523,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sarah Alpar,0.44000000000000006,0.8767123287671232,0.2903225806451615,0.2101513802315227,0.6,0.21466666666666667,0.0408997955010225,0.44705882352941173,0.2,0.0,0.6208333333333333,0.05520614954577219,0.019736842105263157,0.0,0.11764705882352941,0.07692307692307693,0.024096385542168676,0.44,0.27,0.34615384615384615,0.2857142857142857,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Patricia Alujas,0.20000000000000007,0.8889035806844025,0.4685351665785302,0.5191451469278717,0.9158415841584159,0.0,0.0,0.5294117647058824,0.0,0.6055555555555555,0.04416666666666667,0.0,0.0,0.0,0.0,0.0,0.3855421686746988,0.0,0.01,0.0,0.18890056022408963,0.06696428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jaqueline Amorim,0.28000000000000014,0.8630136986301369,0.4685351665785302,0.29652715939447905,0.1831683168316832,0.19733333333333333,0.556237218813906,0.7411764705882353,0.0,0.6733333333333333,0.015833333333333335,0.0,0.17982456140350878,0.0070921985815602835,0.0,0.09230769230769231,0.6265060240963856,0.23,0.08,0.038461538461538464,0.0,0.06696428571428571,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Megan Anderson,0.4800000000000001,0.9863013698630136,0.8709677419354835,0.15672306322350846,0.3316831683168317,0.06933333333333333,0.053169734151329244,0.43529411764705883,0.54,0.0005777777777777778,0.24083333333333334,0.02166317260656883,0.021929824561403508,0.035460992907801414,0.3529411764705882,0.03076923076923077,0.03614457831325302,0.46,0.25,0.42307692307692313,0.23809523809523808,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Jéssica Andrade,0.44000000000000006,0.8424657534246575,0.22580645161290347,0.5894924309884239,0.5316831683168317,0.316,0.03578732106339468,0.6470588235294118,0.72,0.0004555555555555555,0.47000000000000003,0.8238993710691823,0.6644736842105263,0.7021276595744681,0.5882352941176471,0.12307692307692308,0.0963855421686747,0.51,0.56,1.0,0.5714285714285714,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Nina Nunes,0.64,0.8904109589041096,0.3548387096774195,0.3909171861086375,0.3435643564356436,0.032,0.050102249488752554,0.6588235294117647,0.74,0.0,0.6858333333333334,0.32424877707896577,0.10526315789473684,0.10638297872340426,0.23529411764705882,0.06153846153846154,0.024096385542168676,0.45,0.33,0.42307692307692313,0.3333333333333333,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Viviane Araújo,0.64,0.8767123287671232,0.6129032258064515,0.3659839715048976,0.4910891089108911,0.23466666666666666,0.06237218813905931,0.6705882352941176,0.79,9.999999999999999e-05,0.7766666666666667,0.46820405310971347,0.02850877192982456,0.0673758865248227,0.1764705882352941,0.07692307692307693,0.04819277108433735,0.47000000000000003,0.4,0.46153846153846156,0.2857142857142857,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Alice Ardelean,0.44000000000000006,0.8630136986301369,0.22580645161290347,0.33837934105075684,0.5079207920792079,0.26666666666666666,0.0,0.6352941176470588,1.0,0.0,0.75,0.034940600978336823,0.006578947368421052,0.014184397163120567,0.23529411764705882,0.015384615384615385,0.04819277108433735,0.54,0.5,0.34615384615384615,0.2857142857142857,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Julia Avila,0.6,0.9178082191780821,0.6129032258064515,0.23063223508459482,0.28316831683168314,0.07200000000000001,0.027607361963190188,0.6,0.5,0.00030000000000000003,0.5591666666666667,0.07407407407407407,0.06578947368421052,0.031914893617021274,0.23529411764705882,0.046153846153846156,0.024096385542168676,0.44,0.33,0.34615384615384615,0.14285714285714285,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Izabela Badurek,0.4,0.8767123287671232,0.4193548387096775,0.3330365093499555,0.4851485148514852,0.23333333333333334,0.0,0.3764705882352941,1.0,0.0,0.42833333333333334,0.0041928721174004195,0.05701754385964912,0.0,0.0,0.0,0.060240963855421686,0.71,0.13,0.19230769230769232,0.14285714285714285,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Shauna Bannon,0.36,0.8904109589041096,0.4193548387096775,0.38913624220837045,0.37326732673267327,0.0,0.0,0.49411764705882355,0.43,0.0,0.75,0.08665269042627533,0.015350877192982455,0.0,0.11764705882352941,0.046153846153846156,0.0,0.42,0.0,0.23076923076923078,0.047619047619047616,0.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Maycee Barber,0.20000000000000007,0.8904109589041096,0.4193548387096775,0.41852181656277826,0.2871287128712871,0.192,0.010224948875255624,0.6470588235294118,0.54,0.0,0.6083333333333334,0.21942697414395526,0.5570175438596491,0.4219858156028369,0.3529411764705882,0.07692307692307693,0.024096385542168676,0.53,0.44,0.5384615384615385,0.09523809523809523,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Dione Barbosa,0.44000000000000006,0.9041095890410958,0.4516129032258065,0.1647373107747106,0.24653465346534656,0.23066666666666666,0.22188139059304704,0.7764705882352941,0.43,0.0,0.5766666666666667,0.039133473095737246,0.008771929824561403,0.014184397163120567,0.0,0.06153846153846154,0.03614457831325302,0.49,0.29,0.2692307692307693,0.14285714285714285,0.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Shayna Baszler,0.84,0.9178082191780821,0.5483870967741935,0.22172751558325915,0.6297029702970298,0.08933333333333333,0.13701431492842536,0.6,0.44,0.0,0.4466666666666667,0.058700209643605866,0.05043859649122807,0.014184397163120567,0.058823529411764705,0.015384615384615385,0.1566265060240964,0.31,0.18,0.576923076923077,0.47619047619047616,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ariel Beck,0.44000000000000006,0.910958904109589,0.4838709677419355,0.39536954585930545,0.4267326732673267,0.0,0.0,0.7529411764705882,0.0,0.5255555555555556,0.028333333333333335,0.0006988120195667365,0.0,0.0070921985815602835,0.11764705882352941,0.0,0.4096385542168675,0.04,0.05,0.0,0.18890056022408963,0.06696428571428571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diana Belbita,0.2400000000000001,0.9178082191780821,0.6129032258064515,0.5823686553873553,0.6485148514851485,0.12133333333333333,0.0,0.611764705882353,0.66,0.00019999999999999998,0.5908333333333333,0.310272536687631,0.17982456140350878,0.05319148936170213,0.3529411764705882,0.06153846153846154,0.04819277108433735,0.43,0.63,0.576923076923077,0.38095238095238093,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
