Name,Style,Age,Height,Reach,Sig. Str. Landed Per Min,Sig. Str. Absorbed Per Min,Takedown avg Per 15 Min,Submission avg Per 15 Min,Sig. Str. Defense (%),Takedown Defense (%),Knockdown Avg,Average fight time (secs),Sig. Str. By Position (Standing),Sig. Str. By Position (Clinch),Sig. Str. By Position (Ground),Win by Method (KO/TKO),Win by Method (Decision),Win by Method (Sub),Striking accuracy (%),Takedown Accuracy (%),Wins,Losses,Draws
Nariman Abbassov,,29.0,,,3.0,5.67,0.0,0.0,46.0,67.0,0.0,900.0,45.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,1.0,0.0
Hamdy Abdelwahab,Wrestler,30.0,74.0,72.0,3.87,3.13,3.0,0.0,59.0,1.0,900.0,30.0,2.0,26.0,5.0,0.0,0.0,53.0,75.0,5.0,0.0,0.0,
Israel Adesanya,Freestyle,35.0,76.0,80.0,3.93,3.11,0.05,0.15,56.0,78.0,0.67,1096.0,1052.0,60.0,36.0,16.0,8.0,0.0,48.0,14.0,24.0,3.0,0.0
Fabio Agu,,35.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Jesus Aguilar,Freestyle,28.0,64.0,62.5,1.49,1.11,1.9,1.43,59.0,40.0,0.48,473.0,23.0,6.0,18.0,1.0,3.0,6.0,51.0,33.0,10.0,2.0,0.0
Nick Aguirre,Freestyle,27.0,69.0,74.0,0.73,2.89,1.16,0.58,46.0,33.0,0.0,779.0,18.0,1.0,0.0,3.0,0.0,4.0,34.0,20.0,7.0,2.0,0.0
Abdul-Kareem Al-Selwady,MMA,28.0,68.0,69.0,4.14,3.6,2.32,0.0,59.0,20.0,0.0,775.0,102.0,5.0,0.0,8.0,5.0,2.0,35.0,31.0,15.0,4.0,0.0
Herdem Alacabek,,32.0,74.0,74.5,3.84,6.66,2.06,0.0,23.0,43.0,0.0,874.0,24.0,26.0,6.0,0.0,0.0,0.0,66.0,50.0,0.0,0.0,0.0
Amir Albazi,Jiu-Jitsu,30.0,65.0,68.0,2.8,3.07,1.71,0.73,63.0,40.0,0.49,738.0,139.0,3.0,30.0,5.0,3.0,9.0,39.0,33.0,17.0,1.0,0.0
Jose Alday,,31.0,67.0,68.0,3.13,3.13,0.0,0.0,59.0,57.0,0.0,900.0,44.0,3.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,1.0,0.0
José Aldo,Jiu-Jitsu,37.0,67.0,70.0,3.63,3.73,0.51,0.15,61.0,92.0,0.4,854.0,1296.0,58.0,144.0,17.0,13.0,1.0,47.0,54.0,32.0,8.0,0.0
Lucas Alexander,Striker,28.0,71.0,73.0,5.23,1.83,0.0,0.0,71.0,57.0,0.81,371.0,90.0,1.0,6.0,3.0,5.0,0.0,55.0,0.0,8.0,4.0,0.0
Marcio Alexandre,,34.0,73.0,75.0,1.61,2.89,0.35,0.71,42.0,67.0,0.0,634.0,51.0,9.0,8.0,10.0,1.0,2.0,45.0,20.0,13.0,3.0,0.0
Bill Algeo,,35.0,72.0,73.0,5.88,4.38,1.03,0.11,47.0,55.0,0.23,715.0,628.0,80.0,63.0,4.0,6.0,7.0,52.0,50.0,18.0,9.0,0.0
Abdul Razak Alhassan,Judo,38.0,70.0,73.0,3.62,3.97,0.88,0.18,56.0,52.0,1.76,365.0,212.0,48.0,48.0,12.0,0.0,0.0,50.0,38.0,12.0,6.0,0.0
Nurullo Aliev,Freestyle,22.0,70.0,72.0,2.5,0.46,3.06,0.0,59.0,0.0,588.0,2.0,0.0,47.0,2.0,6.0,0.0,51.0,44.0,9.0,0.0,0.0,
Ikram Aliskerov,Sambo,31.0,72.0,76.0,7.03,7.27,1.82,1.82,36.0,3.64,124.0,56.0,2.0,0.0,6.0,4.0,5.0,60.0,33.0,15.0,2.0,0.0,
Leon Aliu,,33.0,,,6.32,10.11,0.0,0.0,38.0,0.0,95.0,7.0,3.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,
Brendan Allen,MMA,28.0,74.0,75.0,3.98,3.83,1.74,1.43,47.0,59.0,0.41,585.0,446.0,39.0,97.0,5.0,5.0,14.0,54.0,47.0,24.0,5.0,0.0
Arnold Allen,MMA,30.0,68.0,70.0,3.45,2.88,0.93,0.34,62.0,75.0,0.25,817.0,549.0,27.0,35.0,7.0,9.0,4.0,42.0,48.0,20.0,3.0,0.0
Asu Almabayev,,30.0,64.0,65.0,2.36,1.0,6.68,2.36,59.0,0.0,764.0,36.0,13.0,41.0,3.0,7.0,9.0,62.0,57.0,20.0,2.0,0.0,
Bekzat Almakhan,Karate,26.0,67.0,68.0,0.2,4.53,0.0,0.0,31.0,1.0,900.0,3.0,0.0,0.0,9.0,1.0,1.0,19.0,11.0,2.0,0.0,,
Jailton Almeida,Boxing,33.0,75.0,79.0,2.46,0.72,6.85,2.6,40.0,75.0,0.0,423.0,11.0,3.0,142.0,7.0,0.0,13.0,64.0,59.0,21.0,3.0,0.0
Victor Altamirano,Striker,33.0,68.0,70.0,4.55,3.7,3.43,0.0,54.0,63.0,0.19,787.0,254.0,47.0,57.0,2.0,5.0,4.0,57.0,39.0,12.0,4.0,0.0
Jaime Alvarez,,35.0,68.0,69.0,2.73,4.53,1.0,0.0,57.0,50.0,0.0,900.0,26.0,0.0,15.0,4.0,2.0,1.0,40.0,33.0,7.0,1.0,0.0
Joel Álvarez,Striker,31.0,74.0,77.0,4.39,3.36,0.0,1.23,51.0,43.0,0.25,456.0,211.0,36.0,20.0,4.0,0.0,17.0,52.0,0.0,21.0,3.0,0.0
Hyder Amil,MMA,34.0,69.0,70.0,6.31,2.23,0.64,1.93,62.0,78.0,0.64,466.0,112.0,11.0,24.0,6.0,3.0,1.0,57.0,33.0,10.0,0.0,0.0
Eryk Anders,MMA,36.0,73.0,75.0,3.41,4.17,1.79,0.07,51.0,80.0,0.5,739.0,424.0,179.0,112.0,9.0,5.0,1.0,47.0,26.0,16.0,8.0,0.0
Juan Andres Luna,,27.0,67.0,72.0,3.27,3.0,0.0,0.0,66.0,0.0,900.0,49.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,
Julius Anglickas,,31.0,75.0,75.0,4.62,1.86,4.47,1.12,51.0,60.0,0.0,805.0,15.0,38.0,9.0,0.0,0.0,0.0,78.0,50.0,0.0,0.0,0.0
Chad Anheliger,Freestyle,37.0,66.0,64.5,3.6,3.11,0.82,0.61,54.0,43.0,0.61,880.0,186.0,38.0,40.0,7.0,2.0,3.0,46.0,31.0,13.0,7.0,0.0
Magomed Ankalaev,MMA,32.0,75.0,75.0,3.64,2.25,1.02,0.0,59.0,86.0,0.71,681.0,361.0,49.0,127.0,11.0,8.0,0.0,53.0,31.0,19.0,1.0,1.0
Aoriqileng,,31.0,67.0,69.0,5.31,6.03,1.45,0.0,48.0,59.0,0.41,620.0,318.0,23.0,43.0,8.0,16.0,1.0,50.0,47.0,25.0,10.0,0.0
Josh Appelt,,40.0,70.0,,1.35,11.5,0.0,0.0,33.0,33.0,0.0,266.0,4.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,15.0,7.0,0.0
Julio Arce,Freestyle,34.0,67.0,70.0,4.36,3.05,0.46,0.35,68.0,96.0,0.35,708.0,507.0,44.0,15.0,6.0,9.0,5.0,36.0,29.0,19.0,6.0,0.0
Dan Argueta,MMA,30.0,67.0,68.0,2.18,1.9,4.45,1.57,52.0,57.0,0.0,688.0,76.0,21.0,28.0,2.0,2.0,4.0,46.0,49.0,9.0,2.0,0.0
Rheza Arianto,,22.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Eli Aronov,,27.0,,,8.92,6.49,12.16,0.0,38.0,0.0,74.0,10.0,0.0,1.0,0.0,0.0,0.0,69.0,100.0,0.0,1.0,0.0,
Yanal Ashmouz,MMA,28.0,69.0,69.0,3.08,5.35,0.92,0.0,59.0,50.0,0.0,488.0,36.0,1.0,13.0,4.0,1.0,2.0,42.0,50.0,7.0,1.0,0.0
