event,fighter_1,fighter_2,fighter_1_result,fighter_2_result,fighter_1_knockdowns,fighter_2_knockdowns,fighter_1_ss,fighter_2_ss,fighter_1_ss_pct,fighter_2_ss_pct,fighter_1_total_strikes,fighter_2_total_strikes,fighter_1_takedowns,fighter_2_takedowns,fighter_1_takedown_pct,fighter_2_takedown_pct,fighter_1_submission_attempts,fighter_2_submission_attempts,fighter_1_reverses,fighter_2_reverses,fighter_1_control,fighter_2_control,fighter_1_head_ss,fighter_2_head_ss,fighter_1_body_ss,fighter_2_body_ss,fighter_1_leg_ss,fighter_2_leg_ss,fighter_1_distance_ss,fighter_2_distance_ss,fighter_1_clinch_ss,fighter_2_clinch_ss,fighter_1_ground_ss,fighter_2_ground_ss
UFC Fight Night: Tybura vs. Spivac 2,Marcin Tybura,Serghei Spivac,L,W,0,0,0 of 4,3 of 5,0%,60%,9 of 18,8 of 11,0 of 0,1 of 1,---,100%,0,1,1,0,0:43,0:34,0 of 2,2 of 4,0 of 2,0 of 0,0 of 0,1 of 1,0 of 4,3 of 5,0 of 0,0 of 0,0 of 0,0 of 0
UFC Fight Night: Tybura vs. Spivac 2,Damon Jackson,Chepe Mariscal,L,W,0,0,32 of 49,73 of 100,65%,73%,49 of 72,218 of 267,1 of 5,5 of 7,20%,71%,0,0,1,2,4:18,8:31,5 of 16,59 of 86,26 of 32,13 of 13,1 of 1,1 of 1,5 of 15,8 of 18,27 of 34,17 of 21,0 of 0,48 of 61
UFC Fight Night: Tybura vs. Spivac 2,Danny Barlow,Nikolay Veretennikov,W,L,0,0,47 of 99,50 of 92,47%,54%,52 of 107,59 of 101,0 of 2,0 of 2,0%,0%,0,0,0,0,1:16,0:09,25 of 63,23 of 59,7 of 13,22 of 28,15 of 23,5 of 5,46 of 98,45 of 87,1 of 1,5 of 5,0 of 0,0 of 0
UFC Fight Night: Tybura vs. Spivac 2,Chris Gutierrez,Quang Le,W,L,0,0,59 of 78,16 of 69,75%,23%,69 of 88,32 of 87,0 of 0,2 of 11,---,18%,0,0,0,0,0:12,4:05,23 of 34,6 of 55,4 of 5,5 of 8,32 of 39,5 of 6,58 of 77,15 of 63,1 of 1,0 of 0,0 of 0,1 of 6
UFC Fight Night: Tybura vs. Spivac 2,Yana Santos,Chelsea Chandler,W,L,1,0,94 of 135,56 of 124,69%,45%,135 of 186,73 of 152,0 of 0,0 of 0,---,---,0,0,0,0,1:00,2:41,30 of 58,31 of 90,38 of 50,25 of 34,26 of 27,0 of 0,58 of 94,29 of 88,36 of 41,27 of 36,0 of 0,0 of 0
UFC Fight Night: Tybura vs. Spivac 2,Toshiomi Kazama,Charalampos Grigoriou,W,L,0,1,2 of 5,26 of 38,40%,68%,67 of 84,36 of 48,1 of 9,0 of 0,11%,---,1,0,1,0,4:19,2:04,2 of 4,23 of 34,0 of 1,3 of 4,0 of 0,0 of 0,0 of 3,7 of 17,0 of 0,1 of 1,2 of 2,18 of 20
UFC Fight Night: Tybura vs. Spivac 2,Karol Rosa,Pannie Kianzad,W,L,0,0,117 of 194,92 of 182,60%,50%,140 of 223,138 of 229,1 of 2,0 of 0,50%,---,0,0,0,0,4:24,0:00,70 of 132,56 of 138,8 of 9,20 of 27,39 of 53,16 of 17,100 of 170,82 of 163,16 of 23,10 of 19,1 of 1,0 of 0
UFC Fight Night: Tybura vs. Spivac 2,Jhonata Diniz,Karl Williams,W,L,0,0,59 of 103,29 of 84,57%,34%,63 of 107,49 of 120,0 of 0,2 of 5,---,40%,0,0,0,0,0:00,2:39,32 of 75,22 of 74,3 of 3,2 of 4,24 of 25,5 of 6,58 of 101,25 of 75,1 of 2,0 of 0,0 of 0,4 of 9
UFC Fight Night: Tybura vs. Spivac 2,Youssef Zalal,Jarno Errens,W,L,0,0,10 of 12,6 of 26,83%,23%,10 of 12,7 of 27,1 of 2,0 of 0,50%,---,1,0,0,0,1:08,0:00,2 of 2,3 of 22,1 of 1,3 of 3,7 of 9,0 of 1,10 of 12,6 of 26,0 of 0,0 of 0,0 of 0,0 of 0
UFC Fight Night: Tybura vs. Spivac 2,Stephanie Luciano,Talita Alencar,W,L,1,0,72 of 175,41 of 151,41%,27%,87 of 190,45 of 159,0 of 0,1 of 10,---,10%,0,0,0,0,1:10,0:38,49 of 139,20 of 100,14 of 22,16 of 44,9 of 14,5 of 7,66 of 167,36 of 141,5 of 7,5 of 9,1 of 1,0 of 1
UFC Fight Night: Sandhagen vs. Nurmagomedov,Cory Sandhagen,Umar Nurmagomedov,L,W,0,0,71 of 159,98 of 187,44%,52%,80 of 172,123 of 219,0 of 2,5 of 13,0%,38%,0,0,0,0,0:12,5:11,26 of 94,48 of 124,18 of 32,27 of 39,27 of 33,23 of 24,71 of 158,96 of 182,0 of 1,2 of 5,0 of 0,0 of 0
UFC Fight Night: Sandhagen vs. Nurmagomedov,Shara Magomedov,Michal Oleksiejczuk,W,L,0,0,97 of 178,77 of 146,54%,52%,123 of 209,94 of 172,0 of 0,3 of 7,---,42%,0,0,0,0,0:00,2:39,52 of 112,45 of 103,33 of 52,18 of 27,12 of 14,14 of 16,89 of 163,72 of 138,8 of 15,4 of 6,0 of 0,1 of 2
UFC Fight Night: Sandhagen vs. Nurmagomedov,Marlon Vera,Deiveson Figueiredo,L,W,0,1,52 of 117,45 of 90,44%,50%,67 of 136,59 of 104,0 of 0,2 of 14,---,14%,0,0,0,0,0:08,2:30,15 of 67,18 of 57,15 of 22,15 of 20,22 of 28,12 of 13,46 of 108,42 of 84,6 of 9,1 of 2,0 of 0,2 of 4
UFC Fight Night: Sandhagen vs. Nurmagomedov,Tony Ferguson,Michael Chiesa,L,W,0,0,10 of 18,4 of 25,55%,16%,10 of 18,4 of 25,0 of 0,1 of 1,---,100%,0,1,0,0,0:00,0:34,4 of 9,3 of 23,1 of 3,1 of 2,5 of 6,0 of 0,10 of 18,4 of 25,0 of 0,0 of 0,0 of 0,0 of 0
UFC Fight Night: Sandhagen vs. Nurmagomedov,Mackenzie Dern,Loopy Godinez,W,L,0,0,72 of 203,67 of 146,35%,45%,103 of 235,72 of 152,2 of 5,2 of 3,40%,66%,0,1,0,1,2:45,1:41,61 of 188,45 of 116,5 of 6,16 of 23,6 of 9,6 of 7,66 of 195,58 of 136,6 of 8,9 of 10,0 of 0,0 of 0
UFC Fight Night: Sandhagen vs. Nurmagomedov,Joel Alvarez,Elves Brener,W,L,1,0,95 of 141,45 of 97,67%,46%,114 of 164,45 of 98,0 of 1,0 of 5,0%,0%,1,0,0,0,0:51,0:22,67 of 111,17 of 58,24 of 26,7 of 16,4 of 4,21 of 23,71 of 112,45 of 96,24 of 29,0 of 1,0 of 0,0 of 0
UFC Fight Night: Sandhagen vs. Nurmagomedov,Azamat Murzakanov,Alonzo Menifield,W,L,1,0,45 of 85,15 of 74,52%,20%,48 of 88,19 of 80,0 of 1,0 of 0,0%,---,0,0,0,0,0:44,0:51,34 of 69,14 of 73,11 of 16,1 of 1,0 of 0,0 of 0,43 of 82,15 of 73,0 of 1,0 of 1,2 of 2,0 of 0
UFC Fight Night: Sandhagen vs. Nurmagomedov,Mohammad Yahya,Kaue Fernandes,L,W,0,1,4 of 18,37 of 63,22%,58%,4 of 18,37 of 63,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:09,2 of 15,21 of 44,0 of 1,6 of 9,2 of 2,10 of 10,4 of 18,29 of 49,0 of 0,0 of 0,0 of 0,8 of 14
UFC Fight Night: Sandhagen vs. Nurmagomedov,Shamil Gaziev,Don'Tale Mayes,W,L,0,0,31 of 46,27 of 58,67%,46%,89 of 114,57 of 95,2 of 3,0 of 2,66%,0%,0,0,0,0,11:58,0:00,22 of 37,18 of 45,8 of 8,5 of 9,1 of 1,4 of 4,12 of 25,25 of 53,15 of 17,2 of 5,4 of 4,0 of 0
UFC Fight Night: Sandhagen vs. Nurmagomedov,Guram Kutateladze,Jordan Vucenic,W,L,0,1,30 of 68,34 of 85,44%,40%,87 of 152,81 of 139,1 of 4,0 of 5,25%,0%,0,0,0,0,4:05,4:32,13 of 48,23 of 72,13 of 16,10 of 12,4 of 4,1 of 1,15 of 50,24 of 71,11 of 11,7 of 9,4 of 7,3 of 5
UFC Fight Night: Sandhagen vs. Nurmagomedov,Viktoriia Dudakova,Sam Hughes,L,W,0,0,61 of 144,97 of 193,42%,50%,104 of 199,139 of 240,3 of 10,0 of 0,30%,---,0,0,0,0,4:38,2:14,45 of 122,65 of 147,15 of 21,24 of 38,1 of 1,8 of 8,50 of 125,86 of 179,11 of 19,6 of 9,0 of 0,5 of 5
UFC Fight Night: Sandhagen vs. Nurmagomedov,Jai Herbert,Rolando Bedoya,W,L,1,0,82 of 178,67 of 199,46%,33%,89 of 185,71 of 206,2 of 3,0 of 1,66%,0%,0,0,0,0,0:33,1:11,47 of 132,29 of 134,27 of 36,10 of 23,8 of 10,28 of 42,79 of 173,64 of 192,3 of 4,3 of 7,0 of 1,0 of 0
UFC Fight Night: Sandhagen vs. Nurmagomedov,Sedriques Dumas,Denis Tiuliulin,W,L,0,0,49 of 88,26 of 70,55%,37%,95 of 140,183 of 246,3 of 10,3 of 5,30%,60%,0,0,0,0,6:00,2:27,28 of 66,10 of 49,9 of 10,13 of 18,12 of 12,3 of 3,40 of 79,24 of 67,1 of 1,2 of 2,8 of 8,0 of 1
UFC 304: Edwards vs. Muhammad 2,Leon Edwards,Belal Muhammad,L,W,0,0,47 of 71,68 of 121,66%,56%,89 of 114,192 of 281,2 of 2,9 of 13,100%,69%,0,0,2,0,7:11,12:02,32 of 53,59 of 110,12 of 15,9 of 11,3 of 3,0 of 0,35 of 58,62 of 111,6 of 7,0 of 4,6 of 6,6 of 6
UFC 304: Edwards vs. Muhammad 2,Tom Aspinall,Curtis Blaydes,W,L,1,0,14 of 19,5 of 11,73%,45%,14 of 19,5 of 12,0 of 0,0 of 0,---,---,0,0,0,0,0:13,0:00,14 of 19,5 of 11,0 of 0,0 of 0,0 of 0,0 of 0,4 of 8,5 of 11,0 of 0,0 of 0,10 of 11,0 of 0
