event,fighter_1,fighter_2,fighter_1_result,fighter_2_result,fighter_1_knockdowns,fighter_2_knockdowns,fighter_1_ss,fighter_2_ss,fighter_1_ss_pct,fighter_2_ss_pct,fighter_1_total_strikes,fighter_2_total_strikes,fighter_1_takedowns,fighter_2_takedowns,fighter_1_takedown_pct,fighter_2_takedown_pct,fighter_1_submission_attempts,fighter_2_submission_attempts,fighter_1_reverses,fighter_2_reverses,fighter_1_control,fighter_2_control,fighter_1_head_ss,fighter_2_head_ss,fighter_1_body_ss,fighter_2_body_ss,fighter_1_leg_ss,fighter_2_leg_ss,fighter_1_distance_ss,fighter_2_distance_ss,fighter_1_clinch_ss,fighter_2_clinch_ss,fighter_1_ground_ss,fighter_2_ground_ss
UFC 196: McGregor vs Diaz,Conor McGregor,Nate Diaz,L,W,0,0,61 of 140,77 of 152,43%,50%,66 of 145,89 of 169,0 of 1,1 of 1,0%,100%,0,2,1,0,0:39,1:10,47 of 117,65 of 131,7 of 11,9 of 13,7 of 12,3 of 8,56 of 133,62 of 133,3 of 4,10 of 12,2 of 3,5 of 7
UFC 196: McGregor vs Diaz,Holly Holm,Miesha Tate,L,W,0,0,59 of 142,40 of 104,41%,38%,68 of 151,65 of 132,0 of 0,2 of 9,---,22%,0,2,0,0,0:51,5:05,35 of 109,29 of 83,16 of 21,7 of 12,8 of 12,4 of 9,57 of 139,26 of 88,2 of 3,4 of 4,0 of 0,10 of 12
UFC 196: McGregor vs Diaz,Gian Villante,Ilir Latifi,L,W,0,0,23 of 68,30 of 53,33%,56%,32 of 79,36 of 59,0 of 1,3 of 12,0%,25%,0,0,0,0,0:09,4:37,14 of 46,21 of 41,5 of 16,6 of 8,4 of 6,3 of 4,19 of 62,19 of 39,4 of 6,8 of 10,0 of 0,3 of 4
UFC 196: McGregor vs Diaz,Corey Anderson,Tom Lawlor,W,L,0,0,55 of 153,31 of 99,35%,31%,79 of 178,32 of 100,1 of 4,1 of 1,25%,100%,0,0,0,0,2:45,0:15,33 of 127,28 of 94,10 of 13,2 of 4,12 of 13,1 of 1,48 of 142,21 of 87,3 of 6,10 of 12,4 of 5,0 of 0
UFC 196: McGregor vs Diaz,Amanda Nunes,Valentina Shevchenko,W,L,0,0,39 of 81,28 of 67,48%,41%,66 of 112,56 of 99,2 of 6,1 of 1,33%,100%,2,0,0,1,4:39,1:19,21 of 53,22 of 58,6 of 11,3 of 6,12 of 17,3 of 3,20 of 50,16 of 51,0 of 0,5 of 8,19 of 31,7 of 8
UFC 196: McGregor vs Diaz,Brandon Thatch,Siyar Bahadurzada,L,W,0,0,30 of 53,84 of 138,56%,60%,57 of 85,170 of 235,1 of 2,3 of 3,50%,100%,0,1,0,1,0:29,8:19,16 of 33,67 of 118,5 of 9,15 of 18,9 of 11,2 of 2,21 of 43,18 of 49,6 of 7,19 of 25,3 of 3,47 of 64
UFC 196: McGregor vs Diaz,Erick Silva,Nordine Taleb,L,W,0,1,11 of 32,26 of 50,34%,52%,11 of 32,26 of 50,0 of 1,1 of 1,0%,100%,0,0,0,0,0:00,0:05,2 of 14,10 of 34,6 of 10,5 of 5,3 of 8,11 of 11,11 of 32,22 of 45,0 of 0,2 of 2,0 of 0,2 of 3
UFC 196: McGregor vs Diaz,Vitor Miranda,Marcelo Guimaraes,W,L,0,0,46 of 71,23 of 44,64%,52%,61 of 87,31 of 53,0 of 0,1 of 5,---,20%,0,0,0,0,0:02,3:57,38 of 58,6 of 22,6 of 10,4 of 8,2 of 3,13 of 14,21 of 45,19 of 37,25 of 26,3 of 6,0 of 0,1 of 1
UFC 196: McGregor vs Diaz,Darren Elkins,Chas Skelly,W,L,0,0,104 of 153,27 of 72,67%,37%,193 of 255,32 of 83,7 of 11,0 of 1,63%,0%,0,2,0,0,8:42,1:03,73 of 118,23 of 65,26 of 29,4 of 7,5 of 6,0 of 0,24 of 65,20 of 62,32 of 36,5 of 8,48 of 52,2 of 2
UFC 196: McGregor vs Diaz,Diego Sanchez,Jim Miller,W,L,0,0,48 of 125,56 of 115,38%,48%,71 of 148,61 of 120,2 of 9,0 of 1,22%,0%,0,0,0,0,3:27,0:24,35 of 101,37 of 92,12 of 21,10 of 13,1 of 3,9 of 10,40 of 116,48 of 104,3 of 4,4 of 7,5 of 5,4 of 4
UFC 196: McGregor vs Diaz,Jason Saggo,Justin Salas,W,L,0,0,20 of 35,1 of 3,57%,33%,31 of 56,2 of 4,0 of 0,1 of 1,---,100%,0,0,1,0,2:21,0:41,19 of 33,0 of 1,0 of 0,1 of 1,1 of 2,0 of 1,1 of 7,1 of 3,0 of 0,0 of 0,19 of 28,0 of 0
UFC 196: McGregor vs Diaz,Julian Erosa,Teruto Ishihara,L,W,0,1,16 of 44,27 of 51,36%,52%,24 of 52,31 of 55,1 of 1,0 of 0,100%,---,0,0,0,0,1:04,0:08,4 of 27,19 of 42,9 of 13,3 of 3,3 of 4,5 of 6,14 of 38,22 of 39,2 of 4,1 of 4,0 of 2,4 of 8
UFC on FOX: Johnson vs. Bader,Anthony Johnson,Ryan Bader,W,L,0,0,11 of 13,0 of 0,84%,---,13 of 15,0 of 0,0 of 0,0 of 1,---,0%,0,0,0,0,1:13,0:00,11 of 13,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,11 of 13,0 of 0
UFC on FOX: Johnson vs. Bader,Josh Barnett,Ben Rothwell,L,W,0,0,35 of 68,35 of 91,51%,38%,35 of 68,38 of 94,0 of 1,0 of 0,0%,---,0,1,0,0,0:28,0:07,21 of 52,24 of 77,12 of 14,5 of 8,2 of 2,6 of 6,33 of 63,35 of 91,2 of 5,0 of 0,0 of 0,0 of 0
UFC on FOX: Johnson vs. Bader,Iuri Alcantara,Jimmie Rivera,L,W,0,0,41 of 106,45 of 102,38%,44%,43 of 108,64 of 124,0 of 0,3 of 6,---,50%,0,0,0,0,0:01,2:12,18 of 73,21 of 67,17 of 25,13 of 21,6 of 8,11 of 14,36 of 100,35 of 84,5 of 6,10 of 15,0 of 0,0 of 3
UFC on FOX: Johnson vs. Bader,Sage Northcutt,Bryan Barberena,L,W,0,0,18 of 45,26 of 48,40%,54%,27 of 56,67 of 94,1 of 5,1 of 1,20%,100%,0,1,0,0,1:24,3:15,11 of 36,23 of 40,5 of 6,1 of 3,2 of 3,2 of 5,12 of 37,7 of 24,5 of 7,2 of 6,1 of 1,17 of 18
UFC on FOX: Johnson vs. Bader,Tarec Saffiedine,Jake Ellenberger,W,L,0,0,54 of 131,30 of 99,41%,30%,58 of 135,39 of 109,0 of 1,0 of 4,0%,0%,0,0,0,0,1:01,0:54,30 of 103,24 of 90,13 of 17,6 of 9,11 of 11,0 of 0,44 of 118,20 of 86,10 of 13,10 of 13,0 of 0,0 of 0
UFC on FOX: Johnson vs. Bader,Olivier Aubin-Mercier,Diego Ferreira,L,W,0,0,49 of 93,65 of 152,52%,42%,55 of 99,130 of 226,1 of 5,0 of 5,20%,0%,0,0,0,1,0:57,4:03,39 of 78,46 of 121,8 of 13,12 of 23,2 of 2,7 of 8,45 of 86,55 of 137,3 of 5,5 of 10,1 of 2,5 of 5
UFC on FOX: Johnson vs. Bader,Rafael Natal,Kevin Casey,W,L,1,0,54 of 87,16 of 49,62%,32%,123 of 168,30 of 64,4 of 7,0 of 2,57%,0%,0,0,0,0,5:32,2:10,43 of 74,10 of 41,5 of 7,5 of 6,6 of 6,1 of 2,16 of 35,12 of 45,7 of 9,4 of 4,31 of 43,0 of 0
UFC on FOX: Johnson vs. Bader,Dustin Ortiz,Wilson Reis,L,W,0,0,45 of 130,48 of 125,34%,38%,64 of 152,96 of 186,1 of 6,9 of 23,16%,39%,0,0,0,0,0:15,6:51,31 of 111,36 of 111,13 of 17,7 of 7,1 of 2,5 of 7,32 of 110,28 of 96,11 of 17,10 of 16,2 of 3,10 of 13
UFC on FOX: Johnson vs. Bader,George Sullivan,Alexander Yakovlev,L,W,0,1,14 of 22,15 of 18,63%,83%,19 of 27,17 of 20,0 of 0,2 of 2,---,100%,0,0,0,0,1:42,0:00,1 of 6,5 of 7,5 of 5,5 of 6,8 of 11,5 of 5,11 of 19,8 of 10,3 of 3,3 of 4,0 of 0,4 of 4
UFC on FOX: Johnson vs. Bader,Alex Caceres,Masio Fullen,W,L,0,0,74 of 144,36 of 108,51%,33%,80 of 153,38 of 110,1 of 3,0 of 1,33%,0%,0,0,0,0,1:47,0:05,39 of 92,17 of 82,20 of 34,9 of 15,15 of 18,10 of 11,58 of 123,34 of 104,14 of 19,2 of 4,2 of 2,0 of 0
UFC on FOX: Johnson vs. Bader,Matt Dwyer,Randy Brown,L,W,0,0,46 of 97,48 of 108,47%,44%,50 of 101,61 of 122,1 of 8,1 of 4,12%,25%,0,1,0,0,2:52,3:29,16 of 62,31 of 84,7 of 11,10 of 12,23 of 24,7 of 12,34 of 79,23 of 77,12 of 18,23 of 29,0 of 0,2 of 2
UFC on FOX: Johnson vs. Bader,Damon Jackson,Levan Makashvili,D,D,0,0,44 of 131,65 of 114,33%,57%,85 of 175,102 of 153,0 of 6,2 of 5,0%,40%,0,0,0,0,6:39,2:01,22 of 104,32 of 77,19 of 23,29 of 30,3 of 4,4 of 7,24 of 99,26 of 67,19 of 31,38 of 46,1 of 1,1 of 1
UFC on FOX: Johnson vs. Bader,Anthony Rocco Martin,Felipe Olivieri,W,L,0,0,60 of 141,87 of 150,42%,58%,64 of 147,94 of 159,2 of 7,0 of 1,28%,0%,1,0,0,0,4:01,0:19,55 of 132,31 of 81,4 of 7,28 of 37,1 of 2,28 of 32,53 of 131,77 of 136,7 of 10,10 of 14,0 of 0,0 of 0
UFC 195: Lawler vs Condit,Robbie Lawler,Carlos Condit,W,L,1,0,92 of 177,176 of 495,51%,35%,93 of 178,177 of 497,0 of 0,0 of 0,---,---,0,0,0,0,0:42,0:10,82 of 167,96 of 372,7 of 7,47 of 79,3 of 3,33 of 44,76 of 153,149 of 447,14 of 20,27 of 48,2 of 4,0 of 0
UFC 195: Lawler vs Condit,Stipe Miocic,Andrei Arlovski,W,L,1,0,11 of 15,7 of 12,73%,58%,11 of 15,7 of 12,0 of 0,0 of 0,---,---,0,0,0,0,0:02,0:00,11 of 15,4 of 6,0 of 0,0 of 2,0 of 0,3 of 4,5 of 8,6 of 11,1 of 2,1 of 1,5 of 5,0 of 0
UFC 195: Lawler vs Condit,Lorenz Larkin,Albert Tumenov,L,W,0,0,69 of 155,76 of 194,44%,39%,69 of 155,76 of 194,0 of 2,0 of 2,0%,0%,0,0,0,0,0:14,0:17,12 of 84,52 of 167,10 of 12,19 of 22,47 of 59,5 of 5,68 of 151,71 of 184,1 of 4,5 of 10,0 of 0,0 of 0
UFC 195: Lawler vs Condit,Diego Brandao,Brian Ortega,L,W,0,0,56 of 108,29 of 110,51%,26%,61 of 116,33 of 114,2 of 3,0 of 1,66%,0%,0,2,0,0,0:20,1:43,38 of 87,18 of 91,10 of 11,11 of 19,8 of 10,0 of 0,51 of 99,28 of 109,0 of 0,1 of 1,5 of 9,0 of 0
UFC 195: Lawler vs Condit,Abel Trujillo,Tony Sims,W,L,0,0,4 of 11,5 of 12,36%,41%,4 of 11,5 of 12,0 of 2,1 of 1,0%,100%,1,0,0,0,0:17,0:12,2 of 8,5 of 12,2 of 3,0 of 0,0 of 0,0 of 0,3 of 10,5 of 12,1 of 1,0 of 0,0 of 0,0 of 0
UFC 195: Lawler vs Condit,Michael McDonald,Masanori Kanehara,W,L,0,0,5 of 13,15 of 17,38%,88%,6 of 14,77 of 81,0 of 0,2 of 2,---,100%,2,1,0,0,0:12,5:50,4 of 10,4 of 6,0 of 1,11 of 11,1 of 2,0 of 0,5 of 13,3 of 5,0 of 0,0 of 0,0 of 0,12 of 12
UFC 195: Lawler vs Condit,Kyle Noke,Alex Morono,L,W,0,0,59 of 134,43 of 125,44%,34%,79 of 155,81 of 166,1 of 3,0 of 0,33%,---,0,1,0,0,3:10,1:06,24 of 78,34 of 110,20 of 34,6 of 9,15 of 22,3 of 6,44 of 106,35 of 109,3 of 11,4 of 11,12 of 17,4 of 5
UFC 195: Lawler vs Condit,Justine Kish,Nina Nunes,W,L,0,0,72 of 135,92 of 174,53%,52%,91 of 155,107 of 194,3 of 10,1 of 2,30%,50%,0,0,0,1,2:51,2:40,45 of 94,50 of 117,12 of 19,20 of 34,15 of 22,22 of 23,50 of 106,76 of 150,17 of 23,15 of 22,5 of 6,1 of 2
UFC 195: Lawler vs Condit,Scott Holtzman,Drew Dober,L,W,0,0,38 of 69,36 of 88,55%,40%,79 of 115,63 of 119,2 of 5,5 of 14,40%,35%,0,0,0,0,3:59,5:15,33 of 62,29 of 78,5 of 7,4 of 6,0 of 0,3 of 4,17 of 40,22 of 61,10 of 14,10 of 21,11 of 15,4 of 6
